name,per,calories,protein,fat,carbs,per_unit_grams,count_unit
# === FISH & SEAFOOD (魚介類) - Per 100g ===
まぐろ,100g,125,26,1.4,0,,
鮪,100g,125,26,1.4,0,,
マグロ,100g,125,26,1.4,0,,
tuna,100g,125,26,1.4,0,,
Tuna (raw),100g,125,26,1.4,0,,
まぐろ（赤身）,100g,125,26.4,1.4,0.1,,
Tuna (lean),100g,125,26.4,1.4,0.1,,
Tuna akami,100g,125,26.4,1.4,0.1,,
まぐろ（トロ）,100g,344,20.1,27.5,0.1,,
Tuna (fatty),100g,344,20.1,27.5,0.1,,
Tuna toro,100g,344,20.1,27.5,0.1,,
さけ,100g,156,22,7,0,,
鮭,100g,156,22,7,0,,
サケ,100g,156,22,7,0,,
鮭（さけ）,100g,156,22,7,0,,
サーモン,100g,156,22,7,0,,
salmon,100g,156,22,7,0,,
Salmon (raw),100g,156,22,7,0,,
あじ,100g,127,17.6,6.3,0,,
鯵,100g,127,17.6,6.3,0,,
アジ,100g,127,17.6,6.3,0,,
Horse mackerel,100g,127,17.6,6.3,0,,
さば,100g,202,20.7,13.9,0,,
鯖,100g,202,20.7,13.9,0,,
サバ,100g,202,20.7,13.9,0,,
鯖（さば）,100g,202,20.7,13.9,0,,
mackerel,100g,202,20.7,13.9,0,,
いわし,100g,156,19.8,8.8,0,,
鰯,100g,156,19.8,8.8,0,,
イワシ,100g,156,19.8,8.8,0,,
sardine,100g,156,19.8,8.8,0,,
ぶり,100g,257,21.4,17.6,0,,
鰤,100g,257,21.4,17.6,0,,
ブリ,100g,257,21.4,17.6,0,,
yellowtail,100g,257,21.4,17.6,0,,
amberjack,100g,257,21.4,17.6,0,,
カツオ,100g,114,25.8,0.5,0.1,,
bonito,100g,114,25.8,0.5,0.1,,
skipjack,100g,114,25.8,0.5,0.1,,
鯛（たい）,100g,142,20.6,5.8,0.1,,
sea bream,100g,142,20.6,5.8,0.1,,
カレイ,100g,95,19.6,1.3,0.1,,
flounder,100g,95,19.6,1.3,0.1,,
サンマ,100g,310,18.5,24.6,0.1,,
pacific saury,100g,310,18.5,24.6,0.1,,
ウナギ,100g,255,17.1,19.3,0.3,,
eel,100g,255,17.1,19.3,0.3,,
タラ,100g,77,17.6,0.2,0.1,,
cod,100g,77,17.6,0.2,0.1,,
明太子,100g,126,21.0,3.3,3.0,,
mentaiko,100g,126,21.0,3.3,3.0,,
spicy cod roe,100g,126,21.0,3.3,3.0,,
スケトウダラ,100g,79,17.4,0.3,0.1,,
pollock,100g,79,17.4,0.3,0.1,,
ニシン,100g,216,17.4,15.1,0.1,,
herring,100g,216,17.4,15.1,0.1,,
カタクチイワシ,100g,192,18.2,11.3,0.3,,
anchovy,100g,192,18.2,11.3,0.3,,
アナゴ,100g,161,17.3,9.3,0,,
conger eel,100g,161,17.3,9.3,0,,
ヒラメ,100g,103,20.0,2.0,0,,
flatfish,100g,103,20.0,2.0,0,,
ボラ,100g,128,19.2,4.3,0.1,,
mullet,100g,128,19.2,4.3,0.1,,
ホタテ,100g,72,13.5,0.9,1.5,,
scallop,100g,72,13.5,0.9,1.5,,
エビ,100g,82,18.4,0.6,0.1,,
shrimp,100g,82,18.4,0.6,0.1,,
prawn,100g,82,18.4,0.6,0.1,,
イカ,100g,83,17.9,0.8,0.1,,
squid,100g,83,17.9,0.8,0.1,,
タコ,100g,76,16.4,0.7,0.1,,
octopus,100g,76,16.4,0.7,0.1,,
# === MEAT (肉類) - Per 100g ===
鶏むね肉（皮なし）,100g,108,23,1.5,0,,
鶏むね肉,100g,108,23,1.5,0,,
とりむねにく,100g,108,23,1.5,0,,
チキンむね,100g,108,23,1.5,0,,
chicken breast,100g,108,23,1.5,0,,
chicken breast skinless,100g,108,23,1.5,0,,
鶏もも肉（皮なし）,100g,200,16.6,14,0,,
鶏もも肉,100g,200,16.6,14,0,,
とりももにく,100g,200,16.6,14,0,,
チキンもも,100g,200,16.6,14,0,,
chicken thigh,100g,200,16.6,14,0,,
chicken thigh skinless,100g,200,16.6,14,0,,
手羽先,100g,200,16.7,13.3,0,,
てばさき,100g,200,16.7,13.3,0,,
チキンウイング,100g,200,16.7,13.3,0,,
chicken wing,100g,200,16.7,13.3,0,,
鶏皮,100g,498,9,50,0,,
とりかわ,100g,498,9,50,0,,
chicken skin,100g,498,9,50,0,,
鶏ひき肉,100g,166,17,10,0,,
とりひきにく,100g,166,17,10,0,,
チキンミンチ,100g,166,17,10,0,,
ground chicken,100g,166,17,10,0,,
鶏ささみ,100g,105,23.0,0.8,0,,
chicken tenderloin,100g,105,23.0,0.8,0,,
chicken sasami,100g,105,23.0,0.8,0,,
豚ロース,100g,263,19,20,0.2,,
ぶたロース,100g,263,19,20,0.2,,
ポークロース,100g,263,19,20,0.2,,
pork loin,100g,263,19,20,0.2,,
豚バラ,100g,386,14,35,0.1,,
豚バラ肉,100g,386,14,35,0.1,,
ぶたバラ,100g,386,14,35,0.1,,
ポークバラ,100g,386,14,35,0.1,,
pork belly,100g,386,14,35,0.1,,
豚肩ロース,100g,253,18,19,0,,
ぶたかたロース,100g,253,18,19,0,,
pork shoulder,100g,253,18,19,0,,
豚ひき肉,100g,221,17,16,0,,
ぶたひきにく,100g,221,17,16,0,,
ポークミンチ,100g,221,17,16,0,,
ground pork,100g,221,17,16,0,,
豚ヒレ肉,100g,115,22.8,1.9,0.2,,
pork tenderloin,100g,115,22.8,1.9,0.2,,
pork fillet,100g,115,22.8,1.9,0.2,,
豚もも肉,100g,183,20.5,10.2,0.2,,
pork leg,100g,183,20.5,10.2,0.2,,
牛サーロイン,100g,298,17,24,0,,
ぎゅうサーロイン,100g,298,17,24,0,,
ビーフサーロイン,100g,298,17,24,0,,
beef sirloin,100g,298,17,24,0,,
牛バラ,100g,395,14,38,0,,
ぎゅうバラ,100g,395,14,38,0,,
ビーフバラ,100g,395,14,38,0,,
beef rib,100g,395,14,38,0,,
牛ヒレ,100g,185,20,11,0,,
牛ヒレ肉,100g,185,20,11,0,,
ぎゅうヒレ,100g,185,20,11,0,,
フィレ,100g,185,20,11,0,,
ヒレ肉,100g,185,20,11,0,,
beef fillet,100g,185,20,11,0,,
beef tenderloin,100g,185,20,11,0,,
牛ひき肉,100g,224,18,16,0,,
ぎゅうひきにく,100g,224,18,16,0,,
ビーフミンチ,100g,224,18,16,0,,
ground beef,100g,224,18,16,0,,
和牛,100g,450,14,42,0,,
わぎゅう,100g,450,14,42,0,,
ワギュウ,100g,450,14,42,0,,
wagyu beef,100g,450,14,42,0,,
合いびき肉,100g,241,17,18,0,,
あいびきにく,100g,241,17,18,0,,
合挽き,100g,241,17,18,0,,
ミックスミンチ,100g,241,17,18,0,,
ground beef & pork,100g,241,17,18,0,,
鶏レバー,100g,111,18.8,3.1,0.6,,
とりレバー,100g,111,18.8,3.1,0.6,,
レバー,100g,111,18.8,3.1,0.6,,
chicken liver,100g,111,18.8,3.1,0.6,,
豚レバー,100g,132,20.4,3.7,0.5,,
ぶたレバー,100g,132,20.4,3.7,0.5,,
ポークレバー,100g,132,20.4,3.7,0.5,,
pork liver,100g,132,20.4,3.7,0.5,,
牛レバー,100g,132,19.0,3.7,2.0,,
ぎゅうレバー,100g,132,19.0,3.7,2.0,,
ビーフレバー,100g,132,19.0,3.7,2.0,,
beef liver,100g,132,19.0,3.7,2.0,,
牛もも肉,100g,182,19.5,10.7,0.5,,
beef round,100g,182,19.5,10.7,0.5,,
beef thigh,100g,182,19.5,10.7,0.5,,
牛カルビ,100g,371,14.4,32.9,0.2,,
beef short rib,100g,371,14.4,32.9,0.2,,
beef kalbi,100g,371,14.4,32.9,0.2,,
ラム肉,100g,198,18.0,12.0,0.2,,
lamb,100g,198,18.0,12.0,0.2,,
# === VEGETABLES (野菜類) - Per 100g raw ===
にんじん,100g,39,0.7,0.2,9.3,,
Carrot,100g,39,0.7,0.2,9.3,,
carrot,100g,39,0.7,0.2,9.3,,
きゅうり,100g,14,1.0,0.1,3.0,,
Cucumber,100g,14,1.0,0.1,3.0,,
cucumber,100g,14,1.0,0.1,3.0,,
大根,100g,18,0.5,0.1,4.1,,
Daikon Radish,100g,18,0.5,0.1,4.1,,
daikon,100g,18,0.5,0.1,4.1,,
かぼちゃ,100g,91,1.9,0.3,20.6,,
Japanese Pumpkin (Kabocha),100g,91,1.9,0.3,20.6,,
pumpkin,100g,91,1.9,0.3,20.6,,
kabocha,100g,91,1.9,0.3,20.6,,
なす,100g,22,1.1,0.1,5.1,,
Eggplant,100g,22,1.1,0.1,5.1,,
eggplant,100g,22,1.1,0.1,5.1,,
ほうれん草,100g,20,2.2,0.4,3.1,,
Spinach,100g,20,2.2,0.4,3.1,,
spinach,100g,20,2.2,0.4,3.1,,
キャベツ,100g,23,1.3,0.2,5.2,,
Cabbage,100g,23,1.3,0.2,5.2,,
cabbage,100g,23,1.3,0.2,5.2,,
レタス,100g,12,0.6,0.1,2.8,,
Lettuce,100g,12,0.6,0.1,2.8,,
lettuce,100g,12,0.6,0.1,2.8,,
ねぎ,100g,34,1.4,0.1,7.6,,
Green Onion / Scallion,100g,34,1.4,0.1,7.6,,
green onion,100g,34,1.4,0.1,7.6,,
scallion,100g,34,1.4,0.1,7.6,,
ブロッコリー,100g,33,4.3,0.5,5.2,,
Broccoli,100g,33,4.3,0.5,5.2,,
broccoli,100g,33,4.3,0.5,5.2,,
ピーマン,100g,22,0.9,0.2,5.1,,
Bell Pepper,100g,22,0.9,0.2,5.1,,
bell pepper,100g,22,0.9,0.2,5.1,,
紫蘇,100g,37,3.9,0.1,7.5,,
Shiso Leaf,100g,37,3.9,0.1,7.5,,
shiso,100g,37,3.9,0.1,7.5,,
れんこん,100g,66,1.9,0.1,15.5,,
Lotus Root,100g,66,1.9,0.1,15.5,,
lotus root,100g,66,1.9,0.1,15.5,,
ごぼう,100g,65,1.8,0.1,15.4,,
Burdock Root,100g,65,1.8,0.1,15.4,,
burdock,100g,65,1.8,0.1,15.4,,
しいたけ,100g,19,3.0,0.4,4.9,,
Mushroom (Shiitake),100g,19,3.0,0.4,4.9,,
shiitake,100g,19,3.0,0.4,4.9,,
えのき,100g,22,2.7,0.2,7.6,,
